Property Type,Region,Avg Sale To List,Homes Sold,Inventory,Median Dom,Median List Ppsf,Median List Price,Median Sale Ppsf,Median Sale Price,months_of_supply,New Listings,off_market_in_two_weeks,pending_sales,Period Begin,Period Duration,Period End,Price Drops,Sold Above List
All Residential,"Chicago, IL - Little Vietnam",0.955763331,8,9,178.5,147.1153846,259900,150.1785714,$275K,,7,0,9,1/1/2012,90,3/31/2012,,0.125
All Residential,"Chicago, IL - Bridgeport",0.953520704,25,102,99.5,149.6062992,299000,113.1818182,$180K,,79,0.36,42,1/1/2012,90,3/31/2012,,0.32
All Residential,"Chicago, IL - Little Village",0.955368488,48,106,63,35.82535885,64900,30.43498455,$52K,,79,0.25,76,1/1/2012,90,3/31/2012,,0.270833333
All Residential,"Chicago, IL - Longwood Manor",0.97506636,17,25,67,44.88657407,49450,36.86868687,$37K,,14,0.235294118,16,1/1/2012,90,3/31/2012,,0.411764706
All Residential,"Chicago, IL - West Englewood",0.908192755,58,202,76.5,17.07112225,25000,10.30176899,$15K,,131,0.155172414,78,1/1/2012,90,3/31/2012,,0.24137931
All Residential,"Chicago, IL - North Mayfair",0.917679205,10,14,77.5,120.2832618,191950,82.21181978,$153K,,14,0,18,1/1/2012,90,3/31/2012,,0.1
All Residential,"Chicago, IL - Buena Park",0.943032286,26,95,146,181.6310052,196450,116.2913907,$144K,,70,0.076923077,48,1/1/2012,90,3/31/2012,,0.153846154
All Residential,"Chicago, IL - Edgewater Glen",0.961291645,4,5,104,145.8333333,245000,184.6963744,$148K,,10,0,8,1/1/2012,90,3/31/2012,,0.25
All Residential,"Chicago, IL - North Austin",0.964448865,29,77,46,60.94808126,99900,44.54545455,$75K,,80,0.344827586,66,1/1/2012,90,3/31/2012,,0.275862069
All Residential,"Chicago, IL - West Lawn",0.97589415,64,145,60.5,90.48913044,130950,85.73245407,$125K,,132,0.25,130,1/1/2012,90,3/31/2012,,0.296875
All Residential,"Chicago, IL - West Garfield Park",0.984823314,15,62,58,19.88071571,46350,14.06926407,$31K,,45,0,26,1/1/2012,90,3/31/2012,,0.4
All Residential,"Chicago, IL - Norwood Park East",0.923112538,17,42,84,149.9,213750,131.0714286,$168K,,36,0.117647059,46,1/1/2012,90,3/31/2012,,0.058823529
All Residential,"Chicago, IL - South Commons",0.904083297,8,15,48,58.33333333,34950,37.06293706,$30K,,12,0.25,17,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Rosemoor",0.927100125,14,36,67,41.59873618,57500,34.17765092,$44K,,29,0.071428571,16,1/1/2012,90,3/31/2012,,0.214285714
All Residential,"Chicago, IL - Palmer Square",1.017390387,4,13,181,207.6923077,270000,206.779661,$282K,,7,0.25,6,1/1/2012,90,3/31/2012,,0.75
All Residential,"Chicago, IL - Clearing",0.949099483,41,114,84.5,122.4786593,139900,110.8980444,$115K,,80,0.146341463,64,1/1/2012,90,3/31/2012,,0.170731707
All Residential,"Chicago, IL - Beverly",0.935890632,28,78,142,137.0192308,199900,106.4966309,$215K,,57,0.107142857,45,1/1/2012,90,3/31/2012,,0.071428571
All Residential,"Chicago, IL - Margate Park",0.953960008,21,43,170,111.7647059,134400,92.24358974,$65K,,35,0.19047619,24,1/1/2012,90,3/31/2012,,0.047619048
All Residential,"Chicago, IL - Far Southwest Side",0.94019781,269,735,71.5,83.78378378,119000,71.52020833,$86K,,495,0.185873606,436,1/1/2012,90,3/31/2012,,0.182156134
All Residential,"Chicago, IL - Mayfair",0.997027919,6,29,110.5,125.6465517,269800,88.1372549,$138K,,21,0,12,1/1/2012,90,3/31/2012,,0.333333333
All Residential,"Chicago, IL - Dearborn Park",0.970872834,13,32,116,240.5882353,359450,230.8313156,$325K,,28,0,20,1/1/2012,90,3/31/2012,,0.153846154
All Residential,"Chicago, IL - West Rogers Park",0.959648609,86,209,56,91.73785541,124900,68.3,$80K,,154,0.186046512,163,1/1/2012,90,3/31/2012,,0.244186047
All Residential,"Chicago, IL - Marynook",0.845432223,5,6,26,92.56993007,108250,39.9659864,$65K,,8,0.4,4,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Norwood Park",0.92119168,58,175,80,168.5943296,229900,140.2805611,$184K,,139,0.155172414,128,1/1/2012,90,3/31/2012,,0.068965517
All Residential,"Chicago, IL - New City",0.959516749,59,164,51,22.72727273,44949.5,15.56364632,$30K,,98,0.169491525,78,1/1/2012,90,3/31/2012,,0.271186441
All Residential,"Chicago, IL - Cottage Grove Heights",0.899472093,2,14,64,40.27771027,41250,35.09834875,$36K,,10,0,7,1/1/2012,90,3/31/2012,,0.5
All Residential,"Chicago, IL - East Ukrainian Village",0.943380927,41,91,67.5,234.0909091,398750,200.3534783,$368K,,89,0.170731707,83,1/1/2012,90,3/31/2012,,0.048780488
All Residential,"Chicago, IL - Lower West Side",0.954413342,23,56,90,91.93236715,140000,59.60500142,$135K,,37,0.173913043,39,1/1/2012,90,3/31/2012,,0.260869565
All Residential,"Chicago, IL - East Rogers Park",0.941469386,78,253,118.5,97.86956522,93900,55.55555556,$64K,,179,0.115384615,161,1/1/2012,90,3/31/2012,,0.243589744
All Residential,"Chicago, IL - Golden Ghetto",0.954258727,31,61,66,53.26666667,66500,57.12820513,$59K,,50,0.161290323,51,1/1/2012,90,3/31/2012,,0.290322581
All Residential,"Chicago, IL - Heart of Chicago",0.948575245,13,29,92,67.22334229,119900,57.04761905,$135K,,20,0.153846154,23,1/1/2012,90,3/31/2012,,0.230769231
All Residential,"Chicago, IL - Lake View",0.943664201,278,774,136,237.0833333,357000,211.1785777,$325K,,680,0.089928058,506,1/1/2012,90,3/31/2012,,0.097122302
All Residential,"Chicago, IL - Chicago Lawn",0.961418259,85,229,78.5,49.40612648,72500,40.43881359,$50K,,160,0.141176471,131,1/1/2012,90,3/31/2012,,0.352941176
All Residential,"Chicago, IL - Greater Grand Crossing",0.909101044,57,153,72.5,36.88933522,49900,17.80670177,$36K,,100,0.192982456,69,1/1/2012,90,3/31/2012,,0.175438596
All Residential,"Chicago, IL - Loyola",0.962603086,50,165,114.5,89.49243099,89997.5,53.9,$61K,,120,0.14,108,1/1/2012,90,3/31/2012,,0.28
All Residential,"Chicago, IL - Ashburn",0.949457132,66,219,88,90.09009009,118000,79.30131004,$94K,,160,0.227272727,125,1/1/2012,90,3/31/2012,,0.227272727
All Residential,"Chicago, IL - Lincoln Park",0.942655756,180,627,143.5,288.5471321,475000,269.8412698,$438K,,524,0.144444444,356,1/1/2012,90,3/31/2012,,0.066666667
All Residential,"Chicago, IL - Horner Park",0.853772137,5,10,213,222.3901099,447000,241.4983049,$329K,,8,0,9,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Belmont Heights",0.959710999,22,58,69,137.5,185000,113.2065217,$144K,,53,0.136363636,61,1/1/2012,90,3/31/2012,,0.227272727
All Residential,"Chicago, IL - Montclare",0.977215553,27,52,70,116.7778837,174400,112.0358515,$145K,,50,0.222222222,48,1/1/2012,90,3/31/2012,,0.222222222
All Residential,"Chicago, IL - Roseland",0.956834324,65,197,68,35.51136364,46500,22.91666667,$26K,,133,0.138461538,92,1/1/2012,90,3/31/2012,,0.215384615
All Residential,"Chicago, IL - Waclawowo",0.945748501,8,27,68,124.0132731,194950,160.1830664,$219K,,18,0.375,17,1/1/2012,90,3/31/2012,,0.375
All Residential,"Chicago, IL - Goose Island",0.98676587,8,22,151.5,240.5535499,327450,223.4042553,$227K,,24,0.125,21,1/1/2012,90,3/31/2012,,0.375
All Residential,"Chicago, IL - Magnificent Mile",0.921350734,16,52,145,359.4666667,557450,323.9344262,$486K,,22,0,17,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Bucktown",0.974526964,29,130,85,251.0471935,479450,209.0909091,$330K,,104,0.068965517,78,1/1/2012,90,3/31/2012,,0.137931034
All Residential,"Chicago, IL - West Chesterfield",0.928683944,6,17,70.5,72.44379986,89000,34.14189977,$45K,,19,0.166666667,14,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - South Old Irving Park",0.984016157,9,11,85,110.4210526,199000,75.24271845,$155K,,9,0.333333333,18,1/1/2012,90,3/31/2012,,0.333333333
All Residential,"Chicago, IL - Old Town Triangle",0.926873373,21,58,113,309.047619,312400,273.8461538,$356K,,52,0.19047619,42,1/1/2012,90,3/31/2012,,0.047619048
All Residential,"Chicago, IL - Douglas",0.980357793,26,77,47,86.15376984,107450,51.66666667,$61K,,46,0.346153846,58,1/1/2012,90,3/31/2012,,0.269230769
All Residential,"Chicago, IL - Little Italy",0.972432244,33,74,87,178.9473684,225000,169.1346154,$195K,,66,0.121212121,63,1/1/2012,90,3/31/2012,,0.212121212
All Residential,"Chicago, IL - Hegewisch",0.859944836,10,55,177.5,95.67307692,119900,63.79418498,$49K,,33,0,17,1/1/2012,90,3/31/2012,,0.2
All Residential,"Chicago, IL - Vittum Park",0.953203998,12,17,101.5,82.5,77200,110.864745,$118K,,14,0.166666667,20,1/1/2012,90,3/31/2012,,0.166666667
All Residential,"Chicago, IL - Avondale",0.948932939,62,157,77,114.88,184450,79.81061283,$136K,,130,0.306451613,134,1/1/2012,90,3/31/2012,,0.225806452
All Residential,"Chicago, IL - Edgewater",0.946478257,126,372,91.5,141.5059524,175000,95.41666667,$111K,,257,0.111111111,213,1/1/2012,90,3/31/2012,,0.142857143
All Residential,"Chicago, IL - Southwest Side",0.953266758,560,1527,73,65,96400,57.35849057,$78K,,1081,0.196428571,906,1/1/2012,90,3/31/2012,,0.248214286
All Residential,"Chicago, IL - Wildwood",0.924942791,9,15,118,245,349900,249.4427214,$355K,,15,0,17,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Woodlawn",0.933959699,35,125,58,35.92,56900,20,$30K,,86,0.257142857,70,1/1/2012,90,3/31/2012,,0.2
All Residential,"Chicago, IL - Logan Square",0.979422591,81,231,96,145.1772727,249900,90.29202761,$160K,,198,0.160493827,157,1/1/2012,90,3/31/2012,,0.197530864
All Residential,"Chicago, IL - Rosehill",0.904020957,8,13,111.5,109.7842835,189000,62.6118068,$163K,,11,0.25,14,1/1/2012,90,3/31/2012,,0.125
All Residential,"Chicago, IL - St. Ben's",0.940734387,10,21,72.5,261.8253968,665000,184.0832968,$511K,,25,0.1,14,1/1/2012,90,3/31/2012,,0.2
All Residential,"Chicago, IL - Pulaski Park",0.974604552,15,14,163.5,211.1111111,344900,143.8251718,$345K,,19,0.133333333,19,1/1/2012,90,3/31/2012,,0.133333333
All Residential,"Chicago, IL - Chinatown",0.906113603,2,12,1,242.5,260000,249.5624787,$236K,,11,1,6,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Peterson Park",0.93014576,7,7,123,85.97826087,197750,159.0447154,$222K,,3,0,10,1/1/2012,90,3/31/2012,,0.142857143
All Residential,"Chicago, IL - River West",0.969880144,11,31,161,230.1198108,324500,227.3292985,$301K,,29,0.181818182,18,1/1/2012,90,3/31/2012,,0.090909091
All Residential,"Chicago, IL - Archer Heights",0.939849335,17,28,88,100.8391204,129900,92.39130435,$110K,,32,0.176470588,28,1/1/2012,90,3/31/2012,,0.176470588
All Residential,"Chicago, IL - Hermosa",1.033873342,18,74,86.5,99.33738266,130000,45.50674309,$69K,,57,0.111111111,55,1/1/2012,90,3/31/2012,,0.388888889
All Residential,"Chicago, IL - Kilbourn Park",0.963607043,12,23,55,99.16666667,159950,89.28571429,$129K,,14,0.25,15,1/1/2012,90,3/31/2012,,0.333333333
All Residential,"Chicago, IL - Fulton River District",0.974977977,29,65,100.5,268.8950376,362500,252.5641026,$300K,,60,0.103448276,35,1/1/2012,90,3/31/2012,,0.275862069
All Residential,"Chicago, IL - South Chicago",0.931717614,43,136,114,28.25552826,40000,16.84210526,$25K,,80,0.11627907,60,1/1/2012,90,3/31/2012,,0.23255814
All Residential,"Chicago, IL - Central Chicago",0.958123821,776,1941,115,289,349000,253.125,$280K,,1598,0.150773196,1248,1/1/2012,90,3/31/2012,,0.193298969
All Residential,"Chicago, IL - Edison Park",0.919396158,11,48,128,189.1534392,254950,189.5475819,$243K,,38,0.090909091,30,1/1/2012,90,3/31/2012,,0.181818182
All Residential,"Chicago, IL - Albany Park",0.940744551,74,166,114,119.1707819,218812.5,76.8,$121K,,120,0.081081081,121,1/1/2012,90,3/31/2012,,0.189189189
All Residential,"Chicago, IL - Armour Square",0.917189541,4,24,112,237.6923077,278000,209.4557823,$308K,,15,0.5,10,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Ravenswood",0.959234368,45,103,104,204.3513514,304000,181.0454545,$317K,,94,0.111111111,96,1/1/2012,90,3/31/2012,,0.088888889
All Residential,"Chicago, IL - Near East Side",0.947634555,38,105,177,397.7636535,499000,384.2105263,$432K,,79,0.263157895,49,1/1/2012,90,3/31/2012,,0.131578947
All Residential,"Chicago, IL - East Village",0.951477714,25,59,72,238.6956522,399000,233.956044,$390K,,61,0.2,52,1/1/2012,90,3/31/2012,,0.04
All Residential,"Chicago, IL - South East Ravenswood",0.952724278,2,11,199.5,293.0960946,354450,407.4893079,"$1,187K",,10,0,8,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Ravenswood Manor",0.95212064,3,15,165,212.8332923,412000,209.9201915,$248K,,10,0.333333333,4,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - McKinley Park",0.936548531,9,52,141,124.5833333,219000,76.81317586,$90K,,33,0.222222222,22,1/1/2012,90,3/31/2012,,0.222222222
All Residential,"Chicago, IL - Kosciuszko Park",0.979733287,13,25,100,86.88700066,139900,74.81363152,$140K,,21,0.153846154,26,1/1/2012,90,3/31/2012,,0.384615385
All Residential,"Chicago, IL - South Side",0.943887331,353,1226,77,61.50063827,99500,35.68161025,$55K,,804,0.201133144,613,1/1/2012,90,3/31/2012,,0.232294618
All Residential,"Chicago, IL - West Walker",0.901761783,12,16,99,151.4393939,331500,120.5555556,$175K,,16,0.166666667,16,1/1/2012,90,3/31/2012,,0.25
All Residential,"Chicago, IL - Grand Boulevard",0.99815721,59,132,59,39.935,77900,32.96709677,$50K,,96,0.169491525,100,1/1/2012,90,3/31/2012,,0.322033898
All Residential,"Chicago, IL - Cragin",0.968637593,63,126,53.5,86.625,150000,68.81188119,$128K,,109,0.285714286,114,1/1/2012,90,3/31/2012,,0.253968254
All Residential,"Chicago, IL - South Shore",0.90553005,64,225,63,31.77272727,44900,25.43924575,$36K,,142,0.1875,104,1/1/2012,90,3/31/2012,,0.203125
All Residential,"Chicago, IL - Stony Island Park",0.90515873,3,16,86,44.51531283,132499.5,26.25,$32K,,11,0,8,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Fuller Park",0.919338398,5,16,71,42.3510773,77450,10.15998218,$23K,,12,0.2,4,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Magnolia Glen",0.934967264,5,16,55,105.0467976,147500,119.3333333,$224K,,14,0,10,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Roscoe Village",0.954813052,16,53,121,261.7619048,429950,195.4645789,$333K,,58,0.0625,40,1/1/2012,90,3/31/2012,,0.125
All Residential,"Chicago, IL - LeClaire Courts",0.936761229,2,7,136.5,60.74766355,65000,66.51850134,$69K,,7,0,7,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Brickyard",0.950531499,12,29,71,100.72,119700,89.6,$123K,,19,0.166666667,13,1/1/2012,90,3/31/2012,,0.166666667
All Residential,"Chicago, IL - Homan Square",1.005380719,5,16,84,24.17245843,35750,23.15384615,$45K,,12,0,8,1/1/2012,90,3/31/2012,,0.6
All Residential,"Chicago, IL - Kelvyn Park",0.980027638,4,21,49,69.81617647,154500,88.48887791,$208K,,13,0,12,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Ranch Triangle",0.969536636,8,46,116,298.3870968,584000,287.3452611,$461K,,38,0.125,16,1/1/2012,90,3/31/2012,,0.125
All Residential,"Chicago, IL - West DePaul",0.924877721,10,22,103,285.9895105,599000,391.8650794,$698K,,23,0.1,20,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - West Elsdon",0.943579448,33,78,92,109.9473684,128950,91.12149533,$107K,,54,0.181818182,57,1/1/2012,90,3/31/2012,,0.151515152
All Residential,"Chicago, IL - East Humboldt Park",0.927465611,34,97,137,135.9926471,254974.5,99.2020703,$140K,,76,0.117647059,70,1/1/2012,90,3/31/2012,,0.114285714
All Residential,"Chicago, IL - Marquette Park",0.961916302,63,163,76.5,51.88417539,76950,43.12517265,$50K,,114,0.126984127,93,1/1/2012,90,3/31/2012,,0.365079365
